Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BE","BLOOM ENERGY CLASS A CORP","Industrials","Equity","663,821,685.41","0.96","663,821,685.41","5,224,063.00","127.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","571,313,408.50","0.82","571,313,408.50","3,604,501.00","158.50","United States","NASDAQ","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","395,251,195.96","0.57","395,251,195.96","879,724.00","449.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NXT","NEXTRACKER INC CLASS A","Industrials","Equity","375,886,041.53","0.54","375,886,041.53","3,551,791.00","105.83","United States","NASDAQ","USD","1.00","USD","-"
"IONQ","IONQ INC","Information Technology","Equity","366,271,796.46","0.53","366,271,796.46","6,730,463.00","54.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","Industrials","Equity","310,859,126.37","0.45","310,859,126.37","4,058,743.00","76.59","United States","NASDAQ","USD","1.00","USD","-"
"GH","GUARDANT HEALTH INC","Health Care","Equity","283,892,692.02","0.41","283,892,692.02","2,905,462.00","97.71","United States","NASDAQ","USD","1.00","USD","-"
"STRL","STERLING INFRASTRUCTURE INC","Industrials","Equity","277,053,159.88","0.40","277,053,159.88","726,754.00","381.22","United States","NASDAQ","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","275,914,379.37","0.40","275,914,379.37","2,629,509.00","104.93","United States","NASDAQ","USD","1.00","USD","-"
"OKLO","OKLO INC CLASS A","Utilities","Equity","275,754,030.48","0.40","275,754,030.48","2,645,884.00","104.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPXC","SPX TECHNOLOGIES INC","Industrials","Equity","259,981,400.10","0.37","259,981,400.10","1,174,155.00","221.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVAV","AEROVIRONMENT INC","Industrials","Equity","254,815,035.58","0.37","254,815,035.58","776,662.00","328.09","United States","NASDAQ","USD","1.00","USD","-"
"BBIO","BRIDGEBIO PHARMA INC","Health Care","Equity","253,156,135.30","0.36","253,156,135.30","3,802,285.00","66.58","United States","NASDAQ","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Health Care","Equity","245,852,406.80","0.35","245,852,406.80","1,367,366.00","179.80","United States","NASDAQ","USD","1.00","USD","-"
"MDGL","MADRIGAL PHARMACEUTICALS INC","Health Care","Equity","244,886,877.00","0.35","244,886,877.00","452,238.00","541.50","United States","NASDAQ","USD","1.00","USD","-"
"RGTI","RIGETTI COMPUTING INC","Information Technology","Equity","244,097,634.00","0.35","244,097,634.00","7,773,810.00","31.40","United States","NASDAQ","USD","1.00","USD","-"
"CDE","COEUR MINING INC","Materials","Equity","237,038,952.15","0.34","237,038,952.15","15,584,415.00","15.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SATS","ECHOSTAR CORP CLASS A","Communication","Equity","235,267,765.92","0.34","235,267,765.92","3,300,614.00","71.28","United States","NASDAQ","USD","1.00","USD","-"
"IDCC","INTERDIGITAL INC","Information Technology","Equity","234,545,727.01","0.34","234,545,727.01","631,127.00","371.63","United States","NASDAQ","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Industrials","Equity","224,072,355.60","0.32","224,072,355.60","1,101,634.00","203.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QBTS","D WAVE QUANTUM INC","Information Technology","Equity","217,949,690.01","0.31","217,949,690.01","7,518,099.00","28.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SANM","SANMINA CORP","Information Technology","Equity","215,674,325.49","0.31","215,674,325.49","1,274,897.00","169.17","United States","NASDAQ","USD","1.00","USD","-"
"HL","HECLA MINING","Materials","Equity","215,645,160.78","0.31","215,645,160.78","14,600,214.00","14.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LUMN","LUMEN TECHNOLOGIES INC","Communication","Equity","214,720,324.00","0.31","214,720,324.00","23,213,008.00","9.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HQY","HEALTHEQUITY INC","Health Care","Equity","207,476,189.85","0.30","207,476,189.85","2,078,295.00","99.83","United States","NASDAQ","USD","1.00","USD","-"
"DY","DYCOM INDUSTRIES INC","Industrials","Equity","198,511,913.07","0.29","198,511,913.07","683,087.00","290.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Information Technology","Equity","198,217,804.80","0.29","198,217,804.80","917,760.00","215.98","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","196,257,240.28","0.28","196,257,240.28","196,257,240.00","1.00","United States","-","USD","1.00","USD","-"
"UMBF","UMB FINANCIAL CORP","Financials","Equity","195,072,766.20","0.28","195,072,766.20","1,776,619.00","109.80","United States","NASDAQ","USD","1.00","USD","-"
"MOD","MODINE MANUFACTURING","Consumer Discretionary","Equity","193,422,961.20","0.28","193,422,961.20","1,275,036.00","151.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AHR","AMERICAN HEALTHCARE REIT INC","Real Estate","Equity","192,034,270.89","0.28","192,034,270.89","3,905,517.00","49.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTRE","CARETRUST REIT INC","Real Estate","Equity","190,019,401.50","0.27","190,019,401.50","5,206,011.00","36.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CYTK","CYTOKINETICS INC","Health Care","Equity","188,787,714.50","0.27","188,787,714.50","2,838,913.00","66.50","United States","NASDAQ","USD","1.00","USD","-"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Industrials","Equity","184,449,985.20","0.27","184,449,985.20","669,267.00","275.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HIMS","HIMS HERS HEALTH INC CLASS A","Health Care","Equity","184,374,015.00","0.27","184,374,015.00","4,638,340.00","39.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JOBY","JOBY AVIATION INC CLASS A","Industrials","Equity","183,551,950.65","0.26","183,551,950.65","11,226,419.00","16.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FLR","FLUOR CORP","Industrials","Equity","181,179,871.10","0.26","181,179,871.10","3,995,146.00","45.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JBTM","JBT MAREL CORP","Industrials","Equity","180,657,523.62","0.26","180,657,523.62","1,270,983.00","142.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ONB","OLD NATIONAL BANCORP","Financials","Equity","179,611,534.95","0.26","179,611,534.95","8,557,005.00","20.99","United States","NASDAQ","USD","1.00","USD","-"
"ZWS","ZURN ELKAY WATER SOLUTIONS CORP","Industrials","Equity","176,038,590.63","0.25","176,038,590.63","3,660,607.00","48.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RNA","AVIDITY BIOSCIENCES INC","Health Care","Equity","175,226,980.60","0.25","175,226,980.60","2,478,458.00","70.70","United States","NASDAQ","USD","1.00","USD","-"
"ORA","ORMAT TECH INC","Utilities","Equity","167,872,344.00","0.24","167,872,344.00","1,488,230.00","112.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TTMI","TTM TECHNOLOGIES INC","Information Technology","Equity","166,575,580.71","0.24","166,575,580.71","2,454,333.00","67.87","United States","NASDAQ","USD","1.00","USD","-"
"PRIM","PRIMORIS SERVICES CORP","Industrials","Equity","165,514,514.14","0.24","165,514,514.14","1,320,103.00","125.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMC","COMMERCIAL METALS","Materials","Equity","163,777,893.24","0.24","163,777,893.24","2,768,389.00","59.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
